Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Expected_ROI,ROI_Deviation
27833,Alpha Innovations,Social Media,Men 18-24,60 days,Instagram,0.11,5968.0,3.62,New York,French,472,2598,8,Tech Enthusiasts,3/4/2021,15.260217167923717,-11.640217167923716
27874,Innovate Industries,Search,Men 18-24,15 days,Google Ads,0.12,6439.0,2.99,Chicago,Mandarin,355,9912,9,Outdoor Adventurers,14-05-2021,15.911958078186029,-12.921958078186028
28295,DataTech Solutions,Social Media,Men 18-24,45 days,Google Ads,0.18,5823.0,3.15,Los Angeles,Spanish,886,1255,8,Outdoor Adventurers,9/7/2021,15.640215706365916,-12.490215706365916
28477,Alpha Innovations,Social Media,Men 18-24,30 days,Instagram,0.13,5179.0,2.2,Miami,English,298,3262,8,Outdoor Adventurers,7/1/2021,17.585050407060965,-15.385050407060966
28525,Innovate Industries,Search,Men 18-24,15 days,Email,0.15,6313.0,2.02,Miami,English,671,9330,9,Foodies,24-02-2021,16.22954190803736,-14.209541908037359
29042,DataTech Solutions,Email,Men 18-24,60 days,Instagram,0.2,5348.0,2.44,Los Angeles,Spanish,752,3799,10,Health & Wellness,26-07-2021,21.286690365129193,-18.84669036512919
29094,NexGen Systems,Influencer,Men 18-24,45 days,Email,0.14,6856.0,4.6,Miami,Spanish,764,2360,10,Foodies,16-09-2021,16.604612029275224,-12.004612029275224
29184,Innovate Industries,Influencer,Men 18-24,45 days,Instagram,0.2,5430.0,2.56,New York,French,205,3323,7,Fashionistas,15-12-2021,14.67566372944708,-12.11566372944708
29460,NexGen Systems,Display,Men 18-24,15 days,Website,0.13,5040.0,6.55,Chicago,Spanish,652,1486,10,Tech Enthusiasts,17-09-2021,22.58754366522042,-16.03754366522042
29467,Innovate Industries,Social Media,Men 18-24,30 days,Website,0.15,7522.0,2.3,New York,Mandarin,259,1794,9,Foodies,24-09-2021,13.620991500324362,-11.32099150032436
29655,Alpha Innovations,Display,Men 18-24,60 days,Instagram,0.14,5855.0,7.41,Miami,German,673,5137,10,Tech Enthusiasts,31-03-2021,19.443419312162415,-12.033419312162415
29715,TechCorp,Email,Men 18-24,15 days,Website,0.15,5484.0,6.4,Los Angeles,Mandarin,952,4397,10,Health & Wellness,30-05-2021,20.758792865191634,-14.358792865191633
30030,TechCorp,Social Media,Men 18-24,30 days,Google Ads,0.17,6315.0,3.15,New York,Spanish,404,7749,9,Outdoor Adventurers,10/4/2021,16.224401910600132,-13.074401910600132
30333,NexGen Systems,Influencer,Men 18-24,15 days,Facebook,0.1,5656.0,7.28,Los Angeles,French,620,7775,10,Tech Enthusiasts,7/2/2021,20.12751415712711,-12.847514157127108
30340,Innovate Industries,Influencer,Men 18-24,30 days,Instagram,0.19,5169.0,2.94,Chicago,German,678,4893,8,Tech Enthusiasts,14-02-2021,17.61907062452481,-14.67907062452481
30687,NexGen Systems,Search,Men 18-24,60 days,Email,0.14,5303.0,7.66,Los Angeles,French,505,4313,9,Outdoor Adventurers,27-01-2021,19.320591752864388,-11.660591752864388
30703,NexGen Systems,Social Media,Men 18-24,30 days,Instagram,0.15,6086.0,2.58,New York,German,681,9230,10,Health & Wellness,12/2/2021,18.70542557882204,-16.12542557882204
30823,NexGen Systems,Social Media,Men 18-24,15 days,Instagram,0.18,5347.0,6.56,Houston,German,114,6180,10,Fashionistas,12/6/2021,21.290671418124354,-14.730671418124356
31041,NexGen Systems,Social Media,Men 18-24,15 days,Instagram,0.14,5023.0,2.55,Chicago,Mandarin,497,4416,9,Foodies,16-01-2021,20.39759069588689,-17.84759069588689
31235,Alpha Innovations,Social Media,Men 18-24,60 days,Website,0.08,6860.0,4.78,Los Angeles,German,331,5410,10,Outdoor Adventurers,29-07-2021,16.59493003975378,-11.81493003975378
32024,TechCorp,Social Media,Men 18-24,15 days,Google Ads,0.18,6587.0,2.11,Houston,French,795,4679,10,Tech Enthusiasts,26-09-2021,17.282711412283426,-15.172711412283427
32037,Innovate Industries,Search,Men 18-24,15 days,Website,0.18,5614.0,4.68,Houston,German,301,8582,10,Tech Enthusiasts,9/10/2021,20.27809406353953,-15.59809406353953
32095,Alpha Innovations,Display,Men 18-24,60 days,Website,0.09,5315.0,6.85,Miami,English,661,6376,10,Outdoor Adventurers,6/12/2021,21.418856081413157,-14.568856081413157
32736,Alpha Innovations,Display,Men 18-24,30 days,Google Ads,0.18,6631.0,2.47,Chicago,English,844,6224,9,Outdoor Adventurers,8/9/2021,15.451228783809357,-12.981228783809357
32858,DataTech Solutions,Influencer,Men 18-24,30 days,Email,0.08,5293.0,3.85,Miami,English,389,4752,10,Foodies,8/1/2021,21.5078821221823,-17.657882122182297
32955,TechCorp,Email,Men 18-24,30 days,Website,0.1,5881.0,2.13,Miami,Spanish,814,7022,8,Fashionistas,15-04-2021,15.485967702460254,-13.355967702460255
32971,Innovate Industries,Search,Men 18-24,45 days,Instagram,0.13,6778.0,2.45,Los Angeles,Spanish,835,8191,10,Outdoor Adventurers,1/5/2021,16.795694905976823,-14.345694905976824
33617,DataTech Solutions,Search,Men 18-24,30 days,YouTube,0.1,5034.0,4.5,Los Angeles,Spanish,634,8075,10,Tech Enthusiasts,6/2/2021,22.614465648134868,-18.114465648134868
33762,DataTech Solutions,Email,Men 18-24,15 days,Facebook,0.1,5060.0,5.93,Chicago,Spanish,783,7879,9,Fashionistas,1/7/2021,20.248438352853725,-14.318438352853725
33836,Innovate Industries,Social Media,Men 18-24,15 days,YouTube,0.08,5080.0,2.86,Chicago,Spanish,358,7628,10,Tech Enthusiasts,13-09-2021,22.409688990691127,-19.549688990691127
33990,Innovate Industries,Social Media,Men 18-24,15 days,YouTube,0.15,7947.0,2.98,Houston,French,472,7244,10,Outdoor Adventurers,14-02-2021,14.325056005122805,-11.345056005122805
34015,DataTech Solutions,Influencer,Men 18-24,30 days,Instagram,0.14,6133.0,3.13,Chicago,German,505,7514,8,Fashionistas,11/3/2021,14.849661838931802,-11.719661838931803
34043,NexGen Systems,Email,Men 18-24,30 days,YouTube,0.18,7777.0,2.37,New York,German,308,5077,10,Foodies,8/4/2021,14.638192114274261,-12.26819211427426
34177,Innovate Industries,Email,Men 18-24,45 days,Google Ads,0.18,6162.0,4.75,New York,German,607,1100,9,Foodies,20-08-2021,16.62724733291786,-11.877247332917861
34310,Alpha Innovations,Display,Men 18-24,45 days,YouTube,0.18,5313.0,3.27,Houston,Mandarin,976,1520,9,Foodies,31-12-2021,19.284227002717834,-16.014227002717835
34466,NexGen Systems,Search,Men 18-24,15 days,YouTube,0.12,5203.0,7.57,Houston,English,702,3002,10,Tech Enthusiasts,5/6/2021,21.879919291314803,-14.309919291314802
34748,NexGen Systems,Search,Men 18-24,30 days,YouTube,0.11,6670.0,2.73,Miami,German,175,5471,9,Fashionistas,14-03-2021,15.360884267682136,-12.630884267682136
34773,Innovate Industries,Email,Men 18-24,30 days,Google Ads,0.1,6400.0,3.24,Houston,Mandarin,834,1707,9,Fashionistas,8/4/2021,16.008921572724976,-12.768921572724976
35089,NexGen Systems,Display,Men 18-24,30 days,Website,0.2,5263.0,6.34,New York,French,704,7328,9,Foodies,18-02-2021,19.467432655413234,-13.127432655413234
35213,TechCorp,Influencer,Men 18-24,30 days,Google Ads,0.13,5158.0,6.66,Los Angeles,French,184,9610,10,Health & Wellness,22-06-2021,22.070806528249502,-15.410806528249502
35476,NexGen Systems,Search,Men 18-24,30 days,Email,0.18,6942.0,3.46,New York,French,965,1599,10,Foodies,12/3/2021,16.398908106123727,-12.938908106123726
35571,Innovate Industries,Search,Men 18-24,15 days,Facebook,0.1,5879.0,7.3,Houston,German,501,8089,10,Health & Wellness,15-06-2021,19.364044917964097,-12.064044917964097
36336,TechCorp,Social Media,Men 18-24,45 days,Google Ads,0.09,5838.0,4.08,Houston,French,895,6127,8,Outdoor Adventurers,20-07-2021,15.600030157274535,-11.520030157274535
36730,TechCorp,Display,Men 18-24,60 days,Instagram,0.11,6472.0,6.07,Chicago,Spanish,984,3154,10,Tech Enthusiasts,18-08-2021,17.589805326438647,-11.519805326438647
36871,NexGen Systems,Influencer,Men 18-24,15 days,Website,0.09,5898.0,2.26,Houston,German,925,4259,10,Outdoor Adventurers,6/1/2021,19.301664983504732,-17.04166498350473
37106,NexGen Systems,Social Media,Men 18-24,45 days,Website,0.14,5557.0,4.33,New York,English,705,9774,9,Tech Enthusiasts,29-08-2021,18.43748390596362,-14.10748390596362
37256,DataTech Solutions,Display,Men 18-24,30 days,Website,0.15,5745.0,3.86,Houston,Mandarin,384,1294,8,Foodies,26-01-2021,15.852563282535899,-11.9925632825359
37563,NexGen Systems,Influencer,Men 18-24,45 days,YouTube,0.15,6039.0,3.77,Chicago,Mandarin,228,5096,9,Outdoor Adventurers,29-11-2021,16.9659046308064,-13.1959046308064
37760,NexGen Systems,Influencer,Men 18-24,30 days,Email,0.14,6124.0,2.99,Houston,German,840,5246,8,Health & Wellness,14-06-2021,14.871485313221545,-11.881485313221544
37838,DataTech Solutions,Email,Men 18-24,15 days,YouTube,0.15,5229.0,4.71,Los Angeles,English,964,9801,8,Tech Enthusiasts,31-08-2021,17.41690113944707,-12.70690113944707
37914,DataTech Solutions,Display,Men 18-24,15 days,YouTube,0.12,5923.0,7.86,Chicago,German,745,3243,10,Tech Enthusiasts,15-11-2021,19.220195858975337,-11.360195858975338
37927,Alpha Innovations,Influencer,Men 18-24,45 days,Website,0.15,5068.0,2.2,Chicago,Spanish,456,1161,10,Fashionistas,28-11-2021,22.46275060629655,-20.26275060629655
38268,TechCorp,Display,Men 18-24,15 days,Email,0.16,5369.0,2.13,Chicago,English,960,8502,9,Tech Enthusiasts,4/11/2021,19.08308773802195,-16.95308773802195
38888,TechCorp,Social Media,Men 18-24,15 days,Instagram,0.18,5149.0,4.41,New York,French,180,3292,8,Foodies,17-07-2021,17.68750748847713,-13.27750748847713
40080,NexGen Systems,Social Media,Men 18-24,30 days,Website,0.19,6549.0,3.97,New York,French,974,7017,9,Health & Wellness,22-10-2021,15.644693550990969,-11.674693550990968
40114,DataTech Solutions,Influencer,Men 18-24,30 days,Email,0.13,5173.0,4.15,Los Angeles,French,215,2342,8,Health & Wellness,25-11-2021,17.605446753947177,-13.455446753947177
40172,Alpha Innovations,Email,Men 18-24,45 days,Instagram,0.2,6269.0,5.16,Chicago,German,971,4878,10,Foodies,22-01-2021,18.15939066401514,-12.999390664015142
40477,NexGen Systems,Influencer,Men 18-24,15 days,Facebook,0.13,5512.0,3.87,Los Angeles,English,150,4760,9,Foodies,23-11-2021,18.588007631611,-14.718007631610998
40837,NexGen Systems,Social Media,Men 18-24,30 days,Website,0.14,5443.0,5.38,Miami,English,380,3167,8,Fashionistas,18-11-2021,16.7321286162353,-11.352128616235301
40840,Alpha Innovations,Search,Men 18-24,60 days,YouTube,0.13,5137.0,7.22,Chicago,Mandarin,451,6386,10,Outdoor Adventurers,21-11-2021,22.161031744736405,-14.941031744736406
41133,TechCorp,Search,Men 18-24,15 days,Facebook,0.08,6307.0,2.4,Houston,German,278,6408,9,Tech Enthusiasts,10/9/2021,16.244981459559195,-13.844981459559195
41379,Alpha Innovations,Influencer,Men 18-24,60 days,Website,0.1,5478.0,3.2,Houston,French,207,2125,8,Health & Wellness,14-05-2021,16.625223814926752,-13.425223814926753
41892,NexGen Systems,Influencer,Men 18-24,15 days,Facebook,0.15,7009.0,4.5,Houston,Spanish,415,1787,10,Outdoor Adventurers,9/10/2021,16.242148676374793,-11.742148676374793
42213,NexGen Systems,Search,Men 18-24,30 days,Facebook,0.16,6171.0,3.91,Chicago,German,751,4046,9,Tech Enthusiasts,26-08-2021,16.602997579880057,-12.692997579880057
42426,Innovate Industries,Search,Men 18-24,45 days,Email,0.18,5992.0,3.41,Houston,English,897,7880,9,Fashionistas,27-03-2021,17.098981653110787,-13.688981653110787
42626,TechCorp,Search,Men 18-24,30 days,Instagram,0.19,5436.0,6.75,Los Angeles,English,883,7124,10,Health & Wellness,13-10-2021,20.942093464442774,-14.192093464442774
42661,Innovate Industries,Display,Men 18-24,60 days,Email,0.13,5662.0,3.51,New York,Spanish,677,1611,10,Fashionistas,17-11-2021,20.106185106448415,-16.596185106448416
43018,NexGen Systems,Display,Men 18-24,60 days,Website,0.19,5474.0,2.3,Miami,French,118,1546,8,Foodies,9/11/2021,16.637372316070287,-14.337372316070287
43058,DataTech Solutions,Display,Men 18-24,15 days,Email,0.15,5379.0,6.56,Houston,German,226,1652,10,Fashionistas,19-12-2021,21.164011911639882,-14.604011911639883
43525,NexGen Systems,Social Media,Men 18-24,15 days,Email,0.14,6515.0,2.01,Houston,English,260,2933,8,Fashionistas,31-03-2021,13.978967929112624,-11.968967929112624
43864,NexGen Systems,Search,Men 18-24,45 days,Email,0.08,5302.0,4.79,New York,Mandarin,462,9040,8,Foodies,5/3/2021,17.1770984643849,-12.387098464384902
44071,NexGen Systems,Search,Men 18-24,60 days,Google Ads,0.19,5028.0,7.94,Houston,French,129,8359,10,Health & Wellness,28-09-2021,22.64145188399183,-14.70145188399183
44570,TechCorp,Search,Men 18-24,15 days,YouTube,0.14,5991.0,3.23,Chicago,German,832,8873,8,Outdoor Adventurers,9/2/2021,15.201631790714197,-11.971631790714197
44678,DataTech Solutions,Social Media,Men 18-24,15 days,Email,0.14,6081.0,3.51,New York,Spanish,941,5452,8,Foodies,28-05-2021,14.976644640382952,-11.466644640382953
45180,NexGen Systems,Email,Men 18-24,60 days,Google Ads,0.09,5091.0,6.22,Chicago,Spanish,275,4305,10,Health & Wellness,12/10/2021,22.36126892019464,-16.14126892019464
45252,Alpha Innovations,Social Media,Men 18-24,45 days,Instagram,0.13,7139.0,4.57,Los Angeles,French,727,6549,10,Fashionistas,23-12-2021,15.946381856381976,-11.376381856381975
45412,Innovate Industries,Search,Men 18-24,15 days,YouTube,0.18,5218.0,3.85,Chicago,Spanish,910,9149,9,Health & Wellness,1/6/2021,19.635319675247192,-15.785319675247193
45602,NexGen Systems,Social Media,Men 18-24,45 days,Website,0.12,6783.0,3.7,Chicago,English,942,1911,9,Fashionistas,8/12/2021,15.104982760642761,-11.40498276064276
45853,DataTech Solutions,Search,Men 18-24,30 days,YouTube,0.16,6659.0,4.74,Miami,German,998,8579,10,Outdoor Adventurers,16-08-2021,17.095843230621853,-12.355843230621852
45927,Innovate Industries,Email,Men 18-24,15 days,Email,0.14,7788.0,2.09,Los Angeles,Spanish,607,7199,10,Outdoor Adventurers,29-10-2021,14.617516701683478,-12.527516701683478
46028,DataTech Solutions,Social Media,Men 18-24,30 days,Instagram,0.09,5046.0,6.45,New York,English,944,8310,9,Outdoor Adventurers,7/2/2021,20.304617135441905,-13.854617135441906
46110,Innovate Industries,Influencer,Men 18-24,60 days,Instagram,0.16,5141.0,2.33,Chicago,Spanish,724,8909,7,Outdoor Adventurers,30-04-2021,15.50065241215671,-13.17065241215671
46128,NexGen Systems,Search,Men 18-24,45 days,Email,0.12,5943.0,4.17,New York,Mandarin,884,1459,10,Tech Enthusiasts,18-05-2021,19.155514062377744,-14.985514062377744
46296,Alpha Innovations,Social Media,Men 18-24,60 days,Facebook,0.08,5552.0,2.4,Chicago,Spanish,473,7721,8,Fashionistas,2/11/2021,16.40363401624077,-14.003634016240769
47538,NexGen Systems,Search,Men 18-24,15 days,Instagram,0.11,5020.0,6.26,Los Angeles,English,975,6916,9,Health & Wellness,29-03-2021,20.409780491123474,-14.149780491123474
47598,DataTech Solutions,Email,Men 18-24,15 days,Instagram,0.08,6695.0,2.51,Los Angeles,Spanish,296,1124,9,Health & Wellness,28-05-2021,15.30352472971469,-12.79352472971469
47606,Innovate Industries,Display,Men 18-24,30 days,Facebook,0.12,5114.0,5.7,Houston,German,495,8380,8,Outdoor Adventurers,5/6/2021,17.808560042661075,-12.108560042661075
47607,TechCorp,Influencer,Men 18-24,45 days,Website,0.17,6892.0,4.36,Chicago,Spanish,789,9088,10,Foodies,6/6/2021,16.51787871049201,-12.15787871049201
47888,TechCorp,Display,Men 18-24,15 days,Facebook,0.12,6581.0,2.47,Los Angeles,German,808,5652,8,Foodies,14-03-2021,13.838774663146747,-11.368774663146747
48171,Alpha Innovations,Search,Men 18-24,45 days,Google Ads,0.15,5104.0,3.7,Houston,Spanish,161,5240,8,Outdoor Adventurers,22-12-2021,17.843451422055004,-14.143451422055005
48403,Innovate Industries,Social Media,Men 18-24,45 days,Instagram,0.12,5077.0,7.03,Chicago,Mandarin,619,9526,9,Outdoor Adventurers,11/8/2021,20.180637791104953,-13.150637791104952
48429,DataTech Solutions,Social Media,Men 18-24,45 days,Facebook,0.16,5708.0,3.36,New York,Spanish,930,2742,8,Outdoor Adventurers,6/9/2021,15.95532166400994,-12.59532166400994
48443,TechCorp,Display,Men 18-24,45 days,Instagram,0.08,7676.0,3.23,Houston,French,883,6800,10,Health & Wellness,20-09-2021,14.830799905251553,-11.600799905251552
48780,Innovate Industries,Display,Men 18-24,15 days,Email,0.08,8366.0,2.22,Chicago,French,829,9003,10,Foodies,23-08-2021,13.607604598698412,-11.387604598698411
49246,TechCorp,Search,Men 18-24,15 days,Instagram,0.11,6128.0,3.1,New York,French,292,3384,9,Tech Enthusiasts,2/12/2021,16.71950033704958,-13.619500337049582
49254,NexGen Systems,Influencer,Men 18-24,45 days,Instagram,0.16,5409.0,4.38,New York,French,293,7479,9,Foodies,10/12/2021,18.941966734228107,-14.561966734228108
49381,TechCorp,Social Media,Men 18-24,45 days,Instagram,0.15,6180.0,5.35,Miami,German,319,8820,10,Health & Wellness,16-04-2021,18.42090939687879,-13.070909396878791
49389,NexGen Systems,Social Media,Men 18-24,15 days,Google Ads,0.09,6972.0,3.0,Chicago,Mandarin,104,1253,9,Tech Enthusiasts,24-04-2021,14.69551033640847,-11.69551033640847
49489,Alpha Innovations,Display,Men 18-24,45 days,Google Ads,0.1,5394.0,2.08,New York,German,124,1522,7,Health & Wellness,2/8/2021,14.773610317185328,-12.693610317185328
49886,TechCorp,Influencer,Men 18-24,45 days,Website,0.13,6381.0,4.02,Chicago,English,513,2899,10,Fashionistas,3/9/2021,17.840655081133196,-13.820655081133197
50226,DataTech Solutions,Email,Men 18-24,15 days,Google Ads,0.13,7091.0,4.08,Chicago,Mandarin,458,1868,10,Health & Wellness,9/8/2021,16.054325211212934,-11.974325211212934
50346,Innovate Industries,Display,Men 18-24,60 days,Email,0.15,5715.0,5.67,Miami,Spanish,935,2796,9,Outdoor Adventurers,7/12/2021,17.927751192552904,-12.257751192552904
50376,DataTech Solutions,Display,Men 18-24,30 days,Instagram,0.16,5984.0,5.37,Chicago,Mandarin,176,1330,9,Fashionistas,6/1/2021,17.12184125425131,-11.75184125425131
50961,Innovate Industries,Search,Men 18-24,15 days,Facebook,0.17,5037.0,5.86,Miami,Mandarin,443,6686,8,Outdoor Adventurers,14-08-2021,18.08079731152844,-12.22079731152844
51821,DataTech Solutions,Search,Men 18-24,45 days,Instagram,0.12,5528.0,6.82,Chicago,English,692,4919,9,Tech Enthusiasts,22-12-2021,18.534207320086804,-11.714207320086803
51837,Alpha Innovations,Influencer,Men 18-24,60 days,Website,0.16,6399.0,3.21,Chicago,Mandarin,695,2736,9,Outdoor Adventurers,7/1/2021,16.011423357624604,-12.801423357624603
51943,NexGen Systems,Email,Men 18-24,45 days,YouTube,0.18,5177.0,3.78,New York,English,808,4325,10,Fashionistas,23-04-2021,21.98980492036139,-18.20980492036139
51969,Alpha Innovations,Display,Men 18-24,30 days,Email,0.2,5088.0,5.81,Los Angeles,Spanish,864,5704,10,Outdoor Adventurers,19-05-2021,22.37445363064287,-16.56445363064287
52064,DataTech Solutions,Social Media,Men 18-24,30 days,Google Ads,0.15,5215.0,2.05,Los Angeles,German,299,1596,7,Foodies,22-08-2021,15.280700680900797,-13.230700680900796
52277,TechCorp,Social Media,Men 18-24,60 days,Email,0.14,6956.0,2.94,Houston,French,483,1824,10,Tech Enthusiasts,23-03-2021,16.365902828164305,-13.425902828164306
52371,Alpha Innovations,Search,Men 18-24,45 days,YouTube,0.18,7451.0,3.27,Los Angeles,English,317,5906,10,Foodies,25-06-2021,15.278649855416846,-12.008649855416847
52636,DataTech Solutions,Influencer,Men 18-24,45 days,Google Ads,0.12,5542.0,6.75,Chicago,Spanish,418,5316,9,Foodies,17-03-2021,18.487386875756016,-11.737386875756016
53223,Alpha Innovations,Email,Men 18-24,30 days,Email,0.17,5070.0,6.54,Miami,Mandarin,804,4523,8,Foodies,25-10-2021,17.963111648553994,-11.423111648553995
53472,TechCorp,Search,Men 18-24,15 days,Facebook,0.17,5717.0,2.57,Chicago,Mandarin,701,9624,9,Foodies,1/7/2021,17.921479458709086,-15.351479458709086
53569,Alpha Innovations,Display,Men 18-24,45 days,Facebook,0.16,6161.0,3.0,Miami,English,347,3865,8,Foodies,6/10/2021,14.782174331791714,-11.782174331791714
53799,TechCorp,Search,Men 18-24,30 days,Instagram,0.11,6249.0,2.38,Houston,French,457,1516,8,Fashionistas,24-05-2021,14.574008010588694,-12.194008010588693
54336,DataTech Solutions,Influencer,Men 18-24,15 days,YouTube,0.19,5534.0,7.12,Los Angeles,English,223,7774,10,Foodies,12/11/2021,20.57123600880212,-13.45123600880212
54378,Alpha Innovations,Search,Men 18-24,30 days,Instagram,0.11,5162.0,2.6,Houston,English,256,9431,7,Health & Wellness,24-12-2021,15.437592803350958,-12.837592803350958
54698,DataTech Solutions,Influencer,Men 18-24,60 days,Email,0.18,7552.0,2.29,New York,Spanish,718,7911,10,Health & Wellness,9/11/2021,15.074314098611087,-12.784314098611087
55351,TechCorp,Display,Men 18-24,30 days,Google Ads,0.13,6415.0,4.59,Houston,Mandarin,678,1022,9,Fashionistas,24-08-2021,15.971488396794989,-11.381488396794989
55359,DataTech Solutions,Social Media,Men 18-24,15 days,Email,0.09,5937.0,3.7,Miami,German,673,4553,8,Outdoor Adventurers,1/9/2021,15.339898274914729,-11.639898274914728
55382,NexGen Systems,Influencer,Men 18-24,45 days,YouTube,0.1,7046.0,4.66,Miami,Spanish,105,5190,10,Foodies,24-09-2021,16.1568578019743,-11.4968578019743
55606,DataTech Solutions,Email,Men 18-24,45 days,Instagram,0.1,5844.0,2.69,Los Angeles,English,176,5092,8,Tech Enthusiasts,6/5/2021,15.584013699207519,-12.89401369920752
55802,DataTech Solutions,Search,Men 18-24,60 days,Instagram,0.15,5164.0,3.69,New York,German,527,9939,10,Tech Enthusiasts,18-11-2021,22.045162678681436,-18.355162678681435
55817,DataTech Solutions,Display,Men 18-24,45 days,Email,0.12,5408.0,3.32,New York,German,642,1114,7,Tech Enthusiasts,3/12/2021,14.735365024204448,-11.415365024204448
55954,DataTech Solutions,Email,Men 18-24,30 days,Email,0.08,5253.0,4.89,Houston,French,341,4190,9,Outdoor Adventurers,19-04-2021,19.504492302577543,-14.614492302577542
56277,TechCorp,Email,Men 18-24,30 days,Email,0.08,5302.0,2.52,Los Angeles,German,391,4478,8,Health & Wellness,8/3/2021,17.1770984643849,-14.657098464384902
56385,Alpha Innovations,Social Media,Men 18-24,45 days,Website,0.12,5092.0,4.27,Chicago,French,103,2388,9,Outdoor Adventurers,24-06-2021,20.1211897221995,-15.8511897221995
56550,NexGen Systems,Search,Men 18-24,30 days,Website,0.2,5501.0,6.61,New York,French,745,3017,10,Tech Enthusiasts,6/12/2021,20.694640987586062,-14.084640987586063
56722,TechCorp,Email,Men 18-24,30 days,Website,0.11,5454.0,4.63,New York,Spanish,746,3195,10,Health & Wellness,27-05-2021,20.87297764442811,-16.242977644428112
56864,Innovate Industries,Social Media,Men 18-24,15 days,Email,0.08,8239.0,2.43,Houston,German,130,7425,10,Fashionistas,16-10-2021,13.817358911604677,-11.387358911604677
56891,NexGen Systems,Email,Men 18-24,30 days,Email,0.12,6258.0,6.89,New York,French,819,5534,10,Fashionistas,12/11/2021,18.191310334405706,-11.301310334405706
57570,Alpha Innovations,Display,Men 18-24,15 days,Facebook,0.08,5122.0,3.08,Houston,Spanish,120,2761,10,Tech Enthusiasts,22-09-2021,22.22593129104079,-19.14593129104079
57803,TechCorp,Email,Men 18-24,60 days,YouTube,0.13,6691.0,3.24,Los Angeles,German,387,1746,9,Tech Enthusiasts,13-05-2021,15.312673451717208,-12.072673451717208
58203,TechCorp,Influencer,Men 18-24,45 days,Website,0.12,5608.0,2.07,Los Angeles,French,388,3218,10,Fashionistas,17-06-2021,20.299789599270852,-18.229789599270852
58206,DataTech Solutions,Email,Men 18-24,60 days,Google Ads,0.18,7785.0,3.13,Houston,Mandarin,538,2587,10,Tech Enthusiasts,20-06-2021,14.623149656096459,-11.49314965609646
58542,TechCorp,Display,Men 18-24,30 days,Instagram,0.11,5144.0,3.74,Chicago,Mandarin,867,7307,10,Tech Enthusiasts,22-05-2021,22.13087481973385,-18.390874819733853
58852,Alpha Innovations,Search,Men 18-24,60 days,Instagram,0.19,5152.0,5.02,Houston,German,124,7891,10,Health & Wellness,28-03-2021,22.096510107280846,-17.076510107280846
59541,NexGen Systems,Email,Men 18-24,15 days,Instagram,0.16,6591.0,5.93,Miami,French,917,5458,10,Health & Wellness,15-02-2021,17.272222738994223,-11.342222738994224
59752,TechCorp,Email,Men 18-24,15 days,Facebook,0.18,5930.0,2.36,Miami,French,116,4091,8,Health & Wellness,14-09-2021,15.358006080635537,-12.998006080635538
59928,TechCorp,Search,Men 18-24,15 days,Email,0.09,6483.0,4.83,New York,German,372,2929,10,Foodies,9/3/2021,17.55995990632592,-12.729959906325918
60036,TechCorp,Search,Men 18-24,60 days,Instagram,0.16,7174.0,2.66,New York,English,474,9233,9,Outdoor Adventurers,25-06-2021,14.281725406389718,-11.621725406389718
60107,Alpha Innovations,Influencer,Men 18-24,60 days,Facebook,0.16,6769.0,4.35,New York,Spanish,105,7015,10,Tech Enthusiasts,4/9/2021,16.818026307092765,-12.468026307092765
60202,DataTech Solutions,Display,Men 18-24,15 days,Email,0.11,5159.0,5.77,Los Angeles,French,435,8401,9,Tech Enthusiasts,8/12/2021,19.85987556996314,-14.08987556996314
60320,DataTech Solutions,Social Media,Men 18-24,60 days,YouTube,0.19,6095.0,4.2,Chicago,German,666,6025,9,Health & Wellness,5/4/2021,16.810024292935168,-12.610024292935169
60411,Alpha Innovations,Influencer,Men 18-24,60 days,Instagram,0.17,7062.0,2.81,New York,Spanish,918,1344,9,Foodies,5/7/2021,14.508226857184912,-11.698226857184912
60615,Alpha Innovations,Influencer,Men 18-24,30 days,YouTube,0.18,5141.0,4.05,Miami,Mandarin,135,2991,8,Tech Enthusiasts,25-01-2021,17.715031328179098,-13.665031328179097
60755,Alpha Innovations,Email,Men 18-24,60 days,Email,0.14,5801.0,3.08,Houston,French,623,6613,8,Foodies,14-06-2021,15.69953043581602,-12.61953043581602
60948,DataTech Solutions,Email,Men 18-24,45 days,Google Ads,0.17,5567.0,6.47,Miami,Mandarin,111,7440,9,Foodies,24-12-2021,18.40436466057838,-11.934364660578382
61076,Alpha Innovations,Display,Men 18-24,60 days,Email,0.1,5183.0,5.16,Chicago,Mandarin,710,4081,10,Tech Enthusiasts,1/5/2021,21.964348846751097,-16.804348846751097
61144,TechCorp,Search,Men 18-24,30 days,Website,0.11,5648.0,4.42,Houston,Mandarin,541,2928,10,Fashionistas,8/7/2021,20.156023383978564,-15.736023383978564
61486,NexGen Systems,Search,Men 18-24,30 days,Website,0.08,5490.0,3.08,Miami,German,370,5527,9,Outdoor Adventurers,15-06-2021,18.662495093887042,-15.582495093887042
61524,Alpha Innovations,Display,Men 18-24,15 days,Website,0.15,6110.0,3.15,New York,German,740,7666,10,Tech Enthusiasts,23-07-2021,18.63195091206398,-15.481950912063981
